id,name,experience,average_case_completion_days,BarLicenseNumber,rating,province
155,Kismat Kothari,24,96,8871,4,Lumbini
156,Indranil Sarna,5,89,6763,2,Sudurpaschim
157,Kashvi Bhatnagar,3,77,5632,1,Madhesh
158,Rhea Dayal,12,109,2499,3,Lumbini
159,Emir Saini,8,90,1411,2,Madhesh
160,Tanya Mann,22,0,8972,4,Gandaki
161,Tarini Chana,27,65,1161,4,Madhesh
162,Fateh Varty,3,81,6704,1,Gandaki
163,Trisha Bhavsar,1,90,8997,1,Gandaki
164,Navya Tata,3,107,7411,1,Lumbini
165,Saksham Dixit,5,95,5716,2,Bagmati
166,Bhavin Kara,15,94,2811,3,Koshi
167,Faiyaz Balay,14,73,7448,3,Madhesh
168,Pari Raman,3,72,8689,1,Sudurpaschim
169,Inaaya  Kara,1,94,9265,1,Gandaki
170,Madhav Loyal,5,0,9268,2,Bagmati
171,Rhea Vyas,26,82,2185,4,Gandaki
172,Aarav Batra,23,97,3227,4,Bagmati
173,Vihaan Sastry,14,75,3764,3,Bagmati
174,Vidur Rout,7,114,1860,2,Sudurpaschim
175,Nitya Sarraf,27,108,7576,4,Bagmati
176,Dharmajan Lad,9,66,5812,2,Sudurpaschim
177,Prerak Dey,15,76,8064,3,Lumbini
178,Ishaan Doshi,15,55,3926,3,Gandaki
179,Yuvraj  Brar,26,78,4134,4,Sudurpaschim
180,Rasha Divan,10,0,1460,3,Koshi
181,Nirvi Gade,28,83,7807,5,Gandaki
182,Khushi Shenoy,13,96,2258,3,Koshi
183,Ehsaan Ravi,19,67,8736,3,Madhesh
184,Armaan Singhal,7,101,2095,2,Koshi
185,Rohan Atwal,17,81,2778,3,Lumbini
186,Rohan Saini,20,90,5274,4,Madhesh
187,Akarsh Batta,29,88,9132,5,Madhesh
188,Elakshi Vohra,4,70,4896,1,Bagmati
189,Urvi Kara,5,72,3919,2,Koshi
190,Tushar Bumb,23,0,8836,4,Bagmati
191,Indrajit Varghese,7,95,4040,2,Koshi
192,Sumer Gokhale,13,105,1843,3,Madhesh
193,Khushi Srivastava,15,94,2084,3,Bagmati
194,Abram Garde,11,92,5813,3,Gandaki
195,Devansh Lata,29,64,5900,5,Koshi
196,Nakul Kaur,4,85,8972,1,Koshi
197,Divij Banerjee,13,89,2971,3,Bagmati
198,Kanav Kuruvilla,7,119,9656,2,Koshi
199,Amira Ramakrishnan,27,100,8692,4,Madhesh
200,Kanav Arya,19,0,2271,3,Bagmati
201,Ritvik Agrawal,22,98,1844,4,Bagmati
202,Zoya Garde,28,79,4990,5,Sudurpaschim
203,Indranil Mani,2,91,4381,1,Sudurpaschim
204,Piya Sabharwal,10,93,4041,3,Madhesh
205,Onkar Gill,13,75,2898,3,Gandaki
206,Yuvaan Kala,25,84,1191,4,Koshi
207,Divyansh Desai,21,86,7851,4,Lumbini
208,Manikya Karpe,6,114,1066,2,Koshi
209,Misha Bhat,28,58,5188,5,Lumbini
210,Tara Lal,28,0,6295,5,Madhesh
211,Amira Chad,12,75,9815,3,Gandaki
212,Romil Doctor,12,69,3318,3,Gandaki
213,Kartik Sidhu,20,107,6749,4,Gandaki
214,Darshit Sarna,11,100,9016,3,Sudurpaschim
215,Misha Subramaniam,26,108,6541,4,Madhesh
216,Amira Doshi,23,102,2175,4,Lumbini
217,Dhruv Bahl,28,120,2964,5,Gandaki
218,Diya Dhar,25,98,2678,4,Madhesh
219,Trisha Ramaswamy,7,87,2870,2,Koshi
220,Ritvik Bhandari,1,0,2060,1,Lumbini
221,Mamooty Ganesh,1,108,9519,1,Sudurpaschim
222,Nehmat Kaur,25,78,6902,4,Bagmati
223,Tanya Seshadri,27,80,3417,4,Lumbini
224,Arnav Kapur,25,85,2791,4,Koshi
225,Keya Mander,20,58,3117,4,Lumbini
226,Rohan Sur,13,92,7440,3,Lumbini
227,Lakshay Ray,9,61,4505,2,Bagmati
228,Manjari Dass,3,90,7312,1,Gandaki
229,Zoya Sood,7,102,6528,2,Koshi
230,Dhanuk Trivedi,6,0,7457,2,Bagmati
231,Kiaan Gupta,8,115,1959,2,Lumbini
232,Dhanush Bassi,27,68,9389,4,Koshi
233,Romil Sandhu,9,107,2396,2,Sudurpaschim
234,Anvi Basak,5,100,5184,2,Lumbini
235,Diya Choudhry,1,64,8215,1,Sudurpaschim
236,Eva Desai,19,130,7674,3,Madhesh
237,Veer Dhingra,10,89,5036,3,Sudurpaschim
238,Aaina Sharma,12,76,7018,3,Lumbini
239,Vanya Dasgupta,24,68,8794,4,Bagmati
240,Dhanuk Baral,15,0,9165,3,Lumbini
241,Indrans Dhillon,27,88,1784,4,Lumbini
242,Parinaaz Devi,22,91,9342,4,Madhesh
243,Renee Ben,24,85,3537,4,Gandaki
244,Shlok Upadhyay,9,99,8932,2,Lumbini
245,Zaina Ghose,20,84,9397,4,Madhesh
246,Yakshit Brahmbhatt,17,60,8236,3,Bagmati
247,Keya Kari,17,87,3758,3,Madhesh
248,Faiyaz Dube,26,54,9135,4,Madhesh
249,Advik Rajagopalan,20,95,4771,4,Sudurpaschim
250,Raunak Vora,12,0,9479,3,Gandaki
251,Neysa Soman,7,92,7114,2,Gandaki
252,Advik Vaidya,2,109,5619,1,Koshi
253,Rati Mangal,3,75,3573,1,Bagmati
254,Lakshit Badal,17,105,8984,3,Koshi
255,Uthkarsh Sur,5,83,6310,2,Madhesh
256,Zaina Saha,17,116,1842,3,Bagmati
257,Baiju Hegde,24,84,5799,4,Bagmati
258,Anay Kar,17,77,1961,3,Gandaki
259,Riya Mahal,27,100,7246,4,Gandaki
260,Ivan Kunda,17,0,2391,3,Gandaki
261,Nirvaan Kakar,2,77,3285,1,Lumbini
262,Jivin Kanda,2,82,5018,1,Madhesh
263,Saanvi Kapur,28,89,6020,5,Bagmati
264,Tiya Mander,22,110,2358,4,Madhesh
265,Alia Sandhu,23,60,7626,4,Bagmati
266,Devansh Sami,5,90,2318,2,Bagmati
267,Drishya Bora,1,99,8211,1,Koshi
268,Anahi Gokhale,1,92,6997,1,Bagmati
269,Hazel Sem,19,109,5404,3,Bagmati
270,Rhea Wason,2,0,3934,1,Sudurpaschim
271,Rasha Bir,21,87,3770,4,Sudurpaschim
272,Ahana  Kadakia,12,98,7933,3,Koshi
273,Arnav Shetty,26,91,4958,4,Lumbini
274,Kiaan Bhardwaj,6,84,9415,2,Gandaki
275,Diya Sule,23,97,5112,4,Bagmati
276,Badal Chauhan,4,80,6385,1,Madhesh
277,Indrajit Sarraf,23,80,3007,4,Sudurpaschim
278,Priyansh Bumb,11,82,6259,3,Gandaki
279,Hazel Chand,24,110,5256,4,Lumbini
280,Reyansh Suri,27,0,2115,4,Gandaki
281,Manjari Mammen,17,95,1107,3,Bagmati
282,Rohan Goda,6,90,9913,2,Gandaki
283,Oorja Saini,24,64,4054,4,Bagmati
284,Vritika Choudhry,5,94,3380,2,Koshi
285,Anay Batra,20,97,2385,4,Sudurpaschim
286,Devansh Cherian,2,98,2374,1,Sudurpaschim
287,Arhaan Contractor,6,50,9890,2,Bagmati
288,Yuvraj  Kothari,22,110,3844,4,Madhesh
289,Madhav Roy,11,78,4366,3,Sudurpaschim
290,Jayesh Shetty,16,0,1733,3,Madhesh
291,Dharmajan Sehgal,16,101,5761,3,Bagmati
292,Indranil Bose,1,76,1825,1,Koshi
293,Nirvi Sinha,9,99,9994,2,Bagmati
294,Pihu Wason,28,84,7162,5,Koshi
295,Rhea Guha,27,58,2256,4,Sudurpaschim
296,Jayan Vig,6,107,3513,2,Madhesh
297,Tarini Dugar,16,78,4686,3,Bagmati
298,Hazel Keer,29,77,3384,5,Sudurpaschim
299,Raghav Kadakia,3,83,6877,1,Koshi
300,Ritvik Varma,20,0,4021,4,Bagmati
301,Miraan Kibe,28,89,4944,5,Koshi
302,Divyansh Tripathi,27,98,9768,4,Gandaki
303,Renee Andra,4,69,3795,1,Koshi
304,Eva Bala,19,78,5680,3,Gandaki
305,Jivin Dara,26,88,3393,4,Sudurpaschim
306,Riaan Banik,3,118,2990,1,Bagmati
307,Prisha Mall,19,88,5202,3,Sudurpaschim
308,Lakshit Sodhi,20,106,3825,4,Lumbini
309,Devansh Shere,7,90,9685,2,Koshi
310,Pihu Bahri,20,0,5574,4,Sudurpaschim
311,Pari Dutta,9,86,3820,2,Sudurpaschim
312,Aarav Wali,1,87,3966,1,Gandaki
313,Trisha Loyal,8,99,6955,2,Koshi
314,Ishaan Chandra,7,110,8494,2,Gandaki
315,Adira Sha,18,95,5521,3,Bagmati
316,Kiaan Koshy,8,107,6265,2,Sudurpaschim
317,Yashvi Sathe,1,75,4271,1,Koshi
318,Indrans Brar,11,83,6304,3,Sudurpaschim
319,Indrans Chaudhary,28,79,6904,5,Bagmati
320,Charvi Loke,25,0,4383,4,Madhesh
321,Ayesha Sha,25,84,1718,4,Bagmati
322,Rasha Sarraf,18,100,3312,3,Gandaki
323,Ehsaan Dhawan,23,76,2689,4,Gandaki
324,Siya Shetty,10,90,3173,3,Sudurpaschim
325,Mamooty Kumar,3,100,8729,1,Gandaki
326,Aniruddh Thaker,7,59,2901,2,Koshi
327,Dhanuk Chaudry,28,121,1067,5,Bagmati
328,Lavanya Thaman,16,85,2343,3,Sudurpaschim
329,Vritika Bhatti,26,59,4693,4,Bagmati
330,Vritika Wable,16,0,8484,3,Bagmati
331,Miraan Sem,25,90,6147,4,Sudurpaschim
332,Aarush Kota,20,88,1758,4,Madhesh
333,Myra Shetty,28,104,4798,5,Gandaki
334,Anahita Kade,17,101,3026,3,Lumbini
335,Misha Char,2,94,4492,1,Lumbini
336,Parinaaz Golla,1,96,4845,1,Lumbini
337,Divit Manne,16,88,9341,3,Gandaki
338,Anya Balan,12,116,6946,3,Madhesh
339,Tarini Yohannan,5,67,7805,2,Bagmati
340,Arhaan Ganguly,5,0,4919,2,Sudurpaschim
341,Eshani Grewal,27,90,8227,4,Madhesh
342,Ranbir Balakrishnan,23,102,7244,4,Lumbini
343,Indrajit Dhar,9,77,2608,2,Koshi
344,Lavanya Karnik,9,63,5198,2,Gandaki
345,Shaan Dugar,3,92,5896,1,Gandaki
346,Tushar Bhakta,19,94,7403,3,Sudurpaschim
347,Uthkarsh Singh,16,112,1980,3,Koshi
348,Kiaan Shenoy,16,70,8625,3,Bagmati
349,Aayush Singhal,3,107,8640,1,Madhesh
350,Adira Sastry,20,0,9547,4,Koshi
351,Saira Chander,24,84,2080,4,Madhesh
352,Dharmajan Chana,22,70,4359,4,Madhesh
353,Rhea Chakraborty,24,83,4261,4,Bagmati
354,Vihaan Sharaf,1,90,2815,1,Bagmati
355,Himmat Tripathi,24,98,6354,4,Bagmati
356,Tanya Mander,20,81,1472,4,Sudurpaschim
357,Adira Krishnan,11,113,2162,3,Gandaki
358,Anya Gopal,17,73,8904,3,Lumbini
359,Anahita Tripathi,8,63,7979,2,Bagmati
360,Veer Bal,4,0,4135,1,Gandaki
361,Samaira Shanker,6,55,9953,2,Bagmati
362,Jivin Khare,8,86,6493,2,Lumbini
363,Gatik Dubey,20,136,6141,4,Koshi
364,Zoya Sant,3,89,5225,1,Bagmati
365,Shamik Tripathi,16,73,3177,3,Gandaki
366,Kaira Chana,25,89,8348,4,Sudurpaschim
367,Jayesh Dugar,3,89,7399,1,Koshi
368,Ishaan Rattan,25,92,2206,4,Koshi
369,Suhana Goyal,29,99,2241,5,Koshi
370,Jayan Kata,18,0,5511,3,Lumbini
371,Uthkarsh Ghosh,14,115,5101,3,Gandaki
372,Ahana  Kata,18,93,5089,3,Madhesh
373,Hiran Dada,2,100,2666,1,Madhesh
374,Ishita Bains,22,80,5470,4,Madhesh
375,Dhruv Dayal,3,109,4290,1,Sudurpaschim
376,Zaina Tripathi,16,86,8411,3,Bagmati
377,Samarth Sodhi,29,94,7038,5,Bagmati
378,Himmat Lad,9,76,1812,2,Bagmati
379,Rasha Devi,4,75,7040,1,Sudurpaschim
380,Lavanya Sethi,1,0,3055,1,Madhesh
381,Seher Tata,4,83,8541,1,Koshi
382,Eshani Andra,1,77,3781,1,Bagmati
383,Arnav Bahl,14,80,8714,3,Koshi
384,Lagan Jhaveri,21,100,7302,4,Koshi
385,Aaryahi Devan,16,80,5524,3,Sudurpaschim
386,Indrans Venkataraman,20,88,3589,4,Sudurpaschim
387,Rania Salvi,24,90,4357,4,Gandaki
388,Jivin Mangal,8,61,9760,2,Bagmati
389,Shamik Mahal,7,67,2709,2,Madhesh
390,Indranil Sidhu,3,0,2828,1,Lumbini
391,Pihu Dutt,17,78,2685,3,Sudurpaschim
392,Vanya Tandon,1,105,4152,1,Koshi
393,Advik Jhaveri,16,104,6526,3,Gandaki
394,Taran Zacharia,12,100,1373,3,Lumbini
395,Mannat Dada,27,117,3896,4,Sudurpaschim
396,Nakul Chana,19,88,2462,3,Gandaki
397,Ishaan Soni,22,99,3330,4,Koshi
398,Dharmajan Mand,23,81,4549,4,Bagmati
399,Advika Tata,22,126,9308,4,Gandaki
400,Ehsaan Varma,14,0,2265,3,Sudurpaschim
401,Zain Saini,6,90,2261,2,Bagmati
402,Vihaan Rau,6,95,3330,2,Koshi
403,Anay Bajaj,13,110,1032,3,Madhesh
404,Jayant Gandhi,19,87,5372,3,Gandaki
405,Zoya Mann,22,80,3062,4,Lumbini
406,Rania Sahota,8,103,1904,2,Koshi
407,Dhruv Kurian,27,91,5385,4,Bagmati
408,Himmat Sharaf,27,92,8348,4,Koshi
409,Ela Iyer,2,77,5104,1,Bagmati
410,Jayan Sha,21,0,5378,4,Koshi
411,Amani Lal,1,93,4700,1,Madhesh
412,Bhamini Gera,28,103,9837,5,Gandaki
413,Miraya Chacko,15,86,7683,3,Lumbini
414,Lagan Yadav,1,111,7404,1,Madhesh
415,Rasha Vaidya,5,79,8154,2,Gandaki
416,Anahi Sule,28,74,6713,5,Lumbini
417,Rasha Sem,29,88,9993,5,Koshi
418,Diya Yogi,16,88,8917,3,Lumbini
419,Tushar Lata,19,101,7310,3,Sudurpaschim
420,Kartik Wali,4,0,6142,1,Lumbini
421,Kimaya Wable,3,110,5790,1,Gandaki
422,Tanya Banik,17,119,6044,3,Madhesh
423,Anahita Krishna,17,89,6613,3,Madhesh
424,Tara Kaul,12,108,1632,3,Sudurpaschim
425,Anahi Bakshi,28,74,9154,5,Gandaki
426,Pranay Dutta,29,106,9215,5,Lumbini
427,Sumer Kaur,14,105,5061,3,Sudurpaschim
428,Jivin Korpal,21,102,9001,4,Koshi
429,Emir Kapadia,6,89,2702,2,Bagmati
430,Samaira Yadav,3,0,4102,1,Koshi
431,Faiyaz Kalita,28,80,7712,5,Gandaki
432,Shamik Yogi,9,80,4017,2,Sudurpaschim
433,Seher Sarma,5,75,1922,2,Madhesh
434,Kiaan Dutt,24,91,4160,4,Sudurpaschim
435,Vivaan Vora,29,83,6760,5,Bagmati
436,Kimaya Tara,17,77,8136,3,Gandaki
437,Ehsaan Chhabra,14,74,8192,3,Sudurpaschim
438,Saksham Dubey,21,79,6482,4,Koshi
439,Raghav Rege,3,106,6671,1,Lumbini
440,Himmat Gala,28,0,3895,5,Koshi
441,Yuvaan Tak,1,82,4471,1,Gandaki
442,Ela Bakshi,20,83,6754,4,Sudurpaschim
443,Yasmin Ganesh,29,95,1702,5,Koshi
444,Damini Bhatti,21,96,2767,4,Sudurpaschim
445,Anaya Sundaram,23,44,7598,4,Koshi
446,Dhanuk Mann,1,105,5692,1,Gandaki
447,Diya Venkatesh,3,111,2216,1,Madhesh
448,Ishita Bhagat,18,74,9443,3,Koshi
449,Anya Ranganathan,25,75,6013,4,Lumbini
450,Samarth Sami,10,0,9142,3,Koshi
451,Mishti Handa,22,78,6460,4,Gandaki
452,Vidur Dani,26,93,4993,4,Koshi
453,Gatik Ratti,3,60,5328,1,Lumbini
454,Samar Garde,8,73,9799,2,Lumbini
455,Darshit Kant,14,113,3978,3,Gandaki
456,Kavya Garde,24,76,7604,4,Sudurpaschim
457,Neysa Chadha,18,108,1656,3,Koshi
458,Saanvi Deep,15,95,8013,3,Madhesh
459,Kartik Ramakrishnan,22,62,7426,4,Lumbini
460,Sana Chauhan,23,0,6422,4,Lumbini
461,Taran Luthra,2,88,7734,1,Koshi
462,Jivin Zacharia,27,83,8720,4,Sudurpaschim
463,Kavya Jha,10,93,5576,3,Koshi
464,Damini Krishna,2,97,7089,1,Gandaki
465,Divit Borra,26,100,5721,4,Madhesh
466,Piya Ranganathan,17,107,5504,3,Koshi
467,Damini Badal,8,96,8526,2,Lumbini
468,Aarav Mangat,1,69,5245,1,Lumbini
469,Vanya Dara,9,82,2359,2,Gandaki
470,Jayant Gulati,11,0,9936,3,Sudurpaschim
471,Nayantara Khanna,22,100,5520,4,Koshi
472,Diya Dar,16,125,9189,3,Bagmati
473,Dhanush Edwin,7,110,3248,2,Sudurpaschim
474,Himmat Ramanathan,29,93,2612,5,Lumbini
475,Rasha Ramakrishnan,10,94,6264,3,Koshi
476,Renee Contractor,23,89,4467,4,Lumbini
477,Ayesha Halder,26,63,3621,4,Madhesh
478,Gatik Chaudry,3,90,8047,1,Sudurpaschim
479,Aarna Savant,18,108,3381,3,Bagmati
480,Nitya Golla,25,0,4838,4,Madhesh
481,Elakshi Wadhwa,24,96,5387,4,Bagmati
482,Oorja Ram,13,102,5931,3,Madhesh
483,Madhup Gole,28,76,9853,5,Sudurpaschim
484,Drishya Bajaj,26,83,5534,4,Lumbini
485,Anay Wagle,7,74,7066,2,Bagmati
486,Onkar Samra,25,77,7407,4,Sudurpaschim
487,Dhruv Sengupta,4,70,1763,1,Bagmati
488,Mahika Agrawal,13,76,1399,3,Sudurpaschim
489,Samar Bail,20,111,9310,4,Madhesh
490,Keya Chokshi,1,0,8859,1,Sudurpaschim
491,Jivin Kar,8,91,2174,2,Madhesh
492,Pari Sankar,14,82,9612,3,Lumbini
493,Hansh Khalsa,16,107,2390,3,Madhesh
494,Samarth Bhatt,14,109,8770,3,Gandaki
495,Ehsaan Sodhi,12,102,7499,3,Lumbini
496,Riya Dutt,19,94,8898,3,Koshi
497,Kiara Mannan,23,86,3501,4,Koshi
498,Hazel Mandal,15,72,1021,3,Sudurpaschim
499,Dhruv Yadav,28,119,5442,5,Sudurpaschim
500,Sahil Hans,2,0,7370,1,Gandaki
501,Romil Dyal,2,99,6237,1,Sudurpaschim
502,Umang Dhar,23,105,6083,4,Lumbini
503,Ishaan Doctor,22,81,2608,4,Lumbini
504,Purab Trivedi,19,105,5788,3,Madhesh
505,Stuvan Cheema,25,101,2890,4,Bagmati
506,Vanya Sahota,26,115,2301,4,Sudurpaschim
507,Vedika Singhal,29,82,4966,5,Gandaki
508,Tarini Gera,22,70,5286,4,Koshi
509,Riya Borra,26,82,3866,4,Lumbini
510,Ritvik Ghosh,26,0,3425,4,Lumbini
511,Shaan Mane,22,90,5723,4,Lumbini
512,Akarsh Goda,17,84,1679,3,Bagmati
513,Rasha Banik,20,61,1017,4,Bagmati
514,Rasha Choudhary,10,97,4005,3,Sudurpaschim
515,Sumer Goel,6,119,9445,2,Koshi
516,Saksham Kumer,15,96,7940,3,Gandaki
517,Vivaan Desai,22,99,7338,4,Bagmati
518,Madhav Rau,11,98,6958,3,Madhesh
519,Advik Shukla,28,95,2993,5,Bagmati
520,Anahita Sankar,5,0,8172,2,Lumbini
521,Tiya Bassi,1,95,3711,1,Gandaki
522,Shamik Chahal,8,85,2304,2,Sudurpaschim
523,Chirag Choudhury,21,78,3311,4,Bagmati
524,Nitya Shenoy,28,86,6997,5,Lumbini
525,Raghav Rajagopalan,12,94,8551,3,Madhesh
526,Armaan Datta,12,85,3314,3,Madhesh
527,Prerak Baria,5,94,1211,2,Sudurpaschim
